,macro_only,macro_plus_polymarket
n_trades,64.0,64.0
strategy_total_return,0.04440101580571176,0.06010342622913867
buy_hold_total_return,0.3104487231145385,0.3104487231145385
strategy_sharpe,0.4666109969194605,0.5947459706604729
buy_hold_sharpe,1.8716910968584384,1.8716910968584384
strategy_max_drawdown,-0.08706520914927807,-0.08706520914927796
buy_hold_max_drawdown,-0.08706520914927762,-0.08706520914927762
pct_time_long,0.53125,0.5625
